Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","SMD-0805",203.2000,-132.8293,90.0000,bottom
"C2","100nF","SMD-0805",167.1320,-118.1735,-90.0000,bottom
"C3","10uF","SMD-0805",165.1000,-118.1100,-90.0000,bottom
"C4","1uF","SMD-0805",172.9740,-113.8555,90.0000,bottom
"C5","10uF","SMD-0805",193.6750,-112.0013,90.0000,bottom
"C6","100nF","SMD-0805",195.7070,-113.2840,90.0000,bottom
"C7","10nF","SMD-0805",186.5380,-124.8795,135.0000,bottom
"C8","100nF","SMD-0805",187.7441,-116.0780,0.0000,bottom
"C9","100nF","SMD-0805",184.7088,-118.1100,45.0000,bottom
"C10","100nF","SMD-0805",207.0223,-128.1045,135.0000,bottom
"D1","BZV55C-5,6V","Diode-MiniMELF_Standard",165.3540,-113.3120,90.0000,bottom
"D2","YELLOW","LED_1206",184.1500,-138.1760,90.0000,bottom
"D3","BLUE","LED_1206",180.0860,-138.1760,90.0000,bottom
"R1","10k","SMD-0805",176.4665,-123.6980,180.0000,bottom
"R2","0R","SMD-0805",177.1015,-115.3160,0.0000,bottom
"R3","0R","SMD-0805",177.1015,-112.7760,0.0000,bottom
"R4","100R","SMD-0805",197.6120,-113.2840,90.0000,bottom
"R5","10k","SMD-0805",169.9260,-122.7455,-90.0000,bottom
"R6","10k","SMD-0805",171.9580,-122.7455,-90.0000,bottom
"R7","100R","SMD-0805",187.1341,-112.1795,45.0000,bottom
"R8","100R","SMD-0805",186.5753,-109.5887,45.0000,bottom
"R9","200R","SMD-0805",193.6115,-130.0480,0.0000,bottom
"R10","200R","SMD-0805",209.5500,-113.0300,-90.0000,bottom
"U1","TPS22919DCK","SOT-363_SC-70-6_Handsoldering",170.0530,-118.6180,-90.0000,bottom
"U2","MIC5504-1.2YM5","SOT-23-5_HandSoldering",169.4180,-113.7920,0.0000,bottom
"U3","AT25SF081-SSH","SOIC-8_3.9x4.9mm_Pitch1.27mm",171.1808,-128.1557,0.0000,bottom
"U4","ICE40UP5K-SG48ITR","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",201.0918,-121.7549,90.0000,bottom
